ts,tid,comm,cpu_pct
1777220947,25372,java,23
1777220947,25390,C2 CompilerThre,16
1777220947,25391,C1 CompilerThre,9
1777220947,25425,GC Thread#3,1
1777220947,25424,GC Thread#2,1
1777220947,25423,GC Thread#1,1
1777220954,27035,Client,60
1777220954,25390,C2 CompilerThre,31
1777220954,25391,C1 CompilerThre,15
1777220954,27553,Sound Engine,7
1777220954,27552,threaded-ml,3
1777220954,25700,AWT-EventQueue-,2
1777220954,25696,AWT-XAWT,2
1777220963,25390,C2 CompilerThre,149
1777220963,27035,Client,105
1777220963,25391,C1 CompilerThre,87
1777220963,25375,G1 Conc#0,9
1777220963,25678,G1 Conc#1,8
1777220963,25700,AWT-EventQueue-,7
1777220963,27553,Sound Engine,3
1777220963,27552,threaded-ml,3
1777220963,25696,AWT-XAWT,3
1777220963,25503,GC Thread#7,2
1777220963,25472,GC Thread#6,2
1777220963,25471,GC Thread#5,2
1777220973,27035,Client,91
1777220973,25390,C2 CompilerThre,77
1777220973,25391,C1 CompilerThre,11
1777220973,27553,Sound Engine,4
1777220973,27552,threaded-ml,4
1777220973,27714,Thread-7,1
1777220973,25700,AWT-EventQueue-,1
1777220983,25390,C2 CompilerThre,123
1777220983,27035,Client,90
1777220983,27552,threaded-ml,4
1777220983,27553,Sound Engine,3
1777220983,25391,C1 CompilerThre,2
1777220992,27035,Client,90
1777220992,25390,C2 CompilerThre,17
1777220992,27552,threaded-ml,6
1777220992,27553,Sound Engine,3
1777220992,25696,AWT-XAWT,2
1777220992,25391,C1 CompilerThre,2
