ts,jvm_cpus,virgl_cpus,client_tid,client_cpus,awt_tid,awt_cpus
1777220228,0-3,0-3,,no-tid,,no-tid
1777220230,0-3,0-3,,no-tid,16200,0-3
1777220232,0-3,0-3,,no-tid,16200,0-3
1777220234,0-3,0-3,17923,0-3,16200,0-3
1777220237,0-3,0-3,17923,0-3,16200,0-3
1777220240,0-3,0-3,17923,0-3,16200,0-3
1777220243,0-3,0-3,17923,0-3,16200,0-3
1777220246,0-3,0-3,17923,0-3,16200,0-3
1777220248,0-3,0-3,17923,0-3,16200,0-3
1777220250,0-3,0-3,17923,0-3,16200,0-3
1777220252,0-3,0-3,17923,0-3,16200,0-3
1777220254,0-3,0-3,17923,0-3,16200,0-3
1777220257,0-3,0-3,17923,0-3,16200,0-3
1777220260,0-3,0-3,17923,0-3,16200,0-3
1777220263,0-3,0-3,17923,0-3,16200,0-3
1777220266,0-3,0-3,17923,0-3,16200,0-3
1777220268,0-3,0-3,17923,0-3,16200,0-3
1777220271,0-3,0-3,17923,0-3,16200,0-3
1777220273,0-3,0-3,17923,0-3,16200,0-3
1777220275,0-3,0-3,17923,0-3,16200,0-3
1777220278,0-3,0-3,17923,0-3,16200,0-3
1777220280,0-3,0-3,17923,0-3,16200,0-3
1777220282,0-3,0-3,17923,0-3,16200,0-3
1777220284,0-3,0-3,17923,0-3,16200,0-3
1777220287,0-3,0-3,17923,0-3,16200,0-3
1777220289,0-3,0-3,17923,0-3,16200,0-3
1777220291,0-3,0-3,17923,0-3,16200,0-3
1777220293,0-3,0-3,17923,0-3,16200,0-3
1777220295,0-3,0-3,17923,0-3,16200,0-3
1777220297,0-3,0-3,17923,0-3,16200,0-3
1777220300,0-3,0-3,17923,0-3,16200,0-3
1777220302,0-3,0-3,17923,0-3,16200,0-3
1777220304,0-3,0-3,17923,0-3,16200,0-3
1777220306,0-3,0-3,17923,0-3,16200,0-3
1777220308,0-3,0-3,17923,0-3,16200,0-3
1777220310,0-3,0-3,17923,0-3,16200,0-3
1777220312,0-3,0-3,17923,0-3,16200,0-3
1777220314,0-3,0-3,17923,0-3,16200,0-3
1777220316,0-3,0-3,17923,0-3,16200,0-3
1777220318,0-3,0-3,17923,0-3,16200,0-3
1777220320,0-3,0-3,17923,0-3,16200,0-3
1777220323,0-3,0-3,17923,0-3,16200,0-3
1777220325,0-3,0-3,17923,0-3,16200,0-3
1777220327,0-3,0-3,17923,0-3,16200,0-3
1777220329,0-3,0-3,17923,0-3,16200,0-3
1777220331,0-3,0-3,17923,0-3,16200,0-3
1777220333,0-3,0-3,17923,0-3,16200,0-3
1777220336,0-3,0-3,17923,0-3,16200,0-3
1777220338,0-3,0-3,17923,0-3,16200,0-3
1777220341,0-3,0-3,17923,0-3,16200,0-3
1777220343,0-7,0-7,17923,0-7,16200,0-7
1777220345,0-7,0-7,17923,0-7,16200,0-7
1777220346,0-7,0-7,17923,0-7,16200,0-7
