04-26 13:04:40.996  9186  9186 I RLT     : +954ms [LIFECYCLE] S26 surfaceChanged: 1280x720 format=1 | thread=main
04-26 13:04:40.999  9219  9267 I RLT     : +614ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=12 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.000  9219  9267 I RLT     : +614ms [STATE] S26 attachSurface: 1280x720 attach=13 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.031  9186  9186 I RLT     : +989ms [LIFECYCLE] S26 surfaceChanged: 720x1280 format=1 | thread=main
04-26 13:04:41.034  9219  9237 I RLT     : +649ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=13 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.035  9219  9237 I RLT     : +650ms [STATE] S26 attachSurface: 720x1280 attach=14 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.055  9186  9186 I RLT     : +1013ms [LIFECYCLE] S26 surfaceChanged: 1366x768 format=1 | thread=main
04-26 13:04:41.058  9219  9267 I RLT     : +672ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=14 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.059  9219  9267 I RLT     : +674ms [STATE] S26 attachSurface: 1366x768 attach=15 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.089  9186  9186 I RLT     : +1047ms [LIFECYCLE] S26 surfaceChanged: 1600x900 format=1 | thread=main
04-26 13:04:41.093  9219  9237 I RLT     : +708ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=15 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.094  9219  9237 I RLT     : +709ms [STATE] S26 attachSurface: 1600x900 attach=16 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.122  9186  9186 I RLT     : +1080ms [LIFECYCLE] S26 surfaceChanged: 640x480 format=1 | thread=main
04-26 13:04:41.126  9219  9237 I RLT     : +741ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=16 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.127  9219  9237 I RLT     : +742ms [STATE] S26 attachSurface: 640x480 attach=17 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.148  9186  9186 I RLT     : +1106ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
04-26 13:04:41.152  9219  9237 I RLT     : +767ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=17 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.153  9219  9237 I RLT     : +768ms [STATE] S26 attachSurface: 800x600 attach=18 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.180  9186  9186 I RLT     : +1138ms [LIFECYCLE] S26 surfaceChanged: 960x540 format=1 | thread=main
04-26 13:04:41.183  9219  9237 I RLT     : +798ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=18 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.184  9219  9237 I RLT     : +799ms [STATE] S26 attachSurface: 960x540 attach=19 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.215  9186  9186 I RLT     : +1173ms [LIFECYCLE] S26 surfaceChanged: 1024x768 format=1 | thread=main
04-26 13:04:41.219  9219  9267 I RLT     : +834ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=19 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.220  9219  9267 I RLT     : +835ms [STATE] S26 attachSurface: 1024x768 attach=20 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.246  9186  9186 I RLT     : +1204ms [LIFECYCLE] S26 surfaceChanged: 1280x720 format=1 | thread=main
04-26 13:04:41.249  9219  9237 I RLT     : +864ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=20 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.250  9219  9237 I RLT     : +865ms [STATE] S26 attachSurface: 1280x720 attach=21 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.273  9186  9186 I RLT     : +1231ms [LIFECYCLE] S26 surfaceChanged: 720x1280 format=1 | thread=main
04-26 13:04:41.276  9219  9267 I RLT     : +891ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=21 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.277  9219  9267 I RLT     : +892ms [STATE] S26 attachSurface: 720x1280 attach=22 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.305  9186  9186 I RLT     : +1263ms [LIFECYCLE] S26 surfaceChanged: 1366x768 format=1 | thread=main
